a_作者,b_被收藏数,c_最近更新作品,d_作品状态,e_作品字数,f_最后更新时间,g_作者所发送红包数,h_小说完本数,i_小说连载数,j_小说暂停数
猪神的黄昏,182,《重生》,完结,94338,2013-09-24 17:09:52,0,4,0,1
何大仁,5643,《末世之绝地求生》,连载,1586139,2022-03-12 23:34:41,225,3,7,0
桃子桃子不开花,486,《[韩娱]无趣女友2》,连载,29900,2022-02-26 02:09:34,0,1,18,1
Unus,180,《[综英美]非常规英雄》,连载,322403,2021-07-22 15:05:28,0,0,1,0
苏俏,3719,《小鱼吃大鳝》,完结,94774,2017-06-30 11:01:50,0,15,0,1
何檀檀,67,《冰帝社死日常》,连载,169392,2022-03-13 21:00:29,49,4,4,0
黎锦,17,《听说我小弟很厉害？》,连载,887,2019-10-31 11:21:06,5,1,4,0
花言言,207,《心城》,完结,240631,2020-01-16 13:05:22,0,13,1,0
何逐,1226,《渣过我的四个大佬重生了》,连载,83683,2019-10-12 03:46:15,999,4,4,0
喵耳酱,477,《我被全横滨碰瓷了》,完结,451860,2021-02-20 16:36:10,0,2,1,0
山月,1999,《佳偶甜成（甜宠）》,完结,147338,2016-04-29 12:48:20,36,29,0,0
大象向着夕阳奔跑,3006,《焚城》,完结,504629,2020-11-20 12:18:15,6324,3,1,0
秣以瑶刍,127,《[HP]如果暑假》,连载,130546,2021-09-21 12:00:06,0,0,3,1
章超,106,《正是江南好风景（江南百景图）》,完结,6949,2020-08-17 14:52:39,0,12,1,1
容微,693,《[微微同人]白雪飞花》,完结,144168,2019-08-25 20:07:50,0,28,1,0
一颗苹果糖,3028,《小狐狸业务不熟[快穿]》,完结,179079,2022-01-16 01:23:43,242,4,2,0
权若若,88,《同*******我》,连载,53747,2018-07-31 00:04:26,0,4,2,0
我只是个代发,918,《关于身体出借的请示报告》,完结,3685,2021-02-20 13:37:56,0,8,2,0
张无忧,793,《我愿意》,完结,700795,2020-03-05 14:50:31,124,6,1,0
银洱,2204,《马甲只穿18层》,完结,255373,2021-11-01 15:05:22,757,5,2,0
天寒色青苍,87,《推翻咒术界》,连载,3324,2022-01-12 22:44:18,0,0,5,0
睿纤,621,《俺撮合了一对BL》,连载,108943,2011-07-27 16:47:28,0,13,5,0
七月繁星,8,《心动不可说》,完结,103967,2021-01-19 10:43:46,12,4,2,0
清嘉观流,2748,《女配总在变美[穿书]》,完结,713442,2022-03-13 16:03:18,1037,3,4,0
红颜祸水,689,《陈情令狂想曲》,连载,282586,2022-02-23 15:28:40,0,7,4,1
万古先生,1246,《[综英美]蝙蝠绝不掉马》,完结,292367,2021-07-29 00:01:41,3,5,10,0
一只一只狐,60,《综影视之另一个结局》,连载,567941,2021-10-06 21:58:12,0,0,1,0
Feliscatus,1631,《谁晓得》,完结,59598,2019-02-07 20:31:58,0,8,5,1
傀也,3105,《二次元剧本沙雕化》,连载,87716,2022-03-12 10:38:40,34,21,8,0
子耽,2591,《[基建]荒漠客栈》,完结,217232,2021-03-18 00:13:26,2751,5,13,0
栖迟山泽,248,《[HQ/排球少年]关于我成为乌野经理这件事》,连载,533263,2022-02-23 22:26:48,1,0,12,0
星河为止,1882,《[快穿]反向攻略》,连载,278548,2022-03-13 08:58:01,280,3,7,0
唐莳柒,38,《小奶猫又乖又怂》,连载,298492,2022-03-11 18:00:00,11,1,7,0
烟草树,301,《大家都夸我是好人[快穿]》,连载,568116,2022-03-12 21:00:00,28,9,5,0
俟雾,186,《我知道灵石在哪里》,连载,125249,2022-03-11 18:00:00,8,37,1,0
风溯君,11849,《鬼慌》,连载,365368,2022-02-28 10:47:55,14,8,7,0
闲人沙砾,62,《风月王朝番外》,连载,24235,2022-03-03 11:45:48,0,2,2,0
白溦,185,《[综咒回]五条老师有话要说》,连载,613975,2022-03-13 08:12:37,0,0,10,0
幼时生,106,《谁把谁当替身》,连载,229618,2022-03-12 21:54:28,10,5,4,0
南绮梦,437,《星途坎坷》,完结,221855,2020-08-11 01:00:11,1,14,2,0
华三千,4670,《扶腰（穿书）》,完结,509487,2020-02-06 01:08:59,16,3,2,0
太阳是个饼饼,443,《横滨最强供应商》,完结,449442,2021-08-25 20:35:08,71,2,7,0
尧菇儿,394,《这易生原本一个人》,完结,637941,2021-08-09 10:09:09,0,2,2,0
归绯,944,《明月万安》,连载,42852,2022-01-22 21:00:03,864,1,4,0
夜尔翼,2724,《[综]付丧神育儿宝典》,完结,697347,2020-08-28 19:57:24,15,12,4,1
明也,34373,《她好喜欢我》,连载,249285,2022-03-13 20:24:31,8661,36,4,1
程小惦儿,23,《穿到娱乐圈摆摊营业》,完结,159190,2022-01-18 16:11:29,36,4,1,0
莺爪玉,149,《[HP]魔法一觉不醒》,连载,259448,2022-03-13 09:00:00,0,1,16,0
梦与梨花落,821,《[名侦探柯南]异类》,完结,176583,2014-04-14 10:21:22,0,18,1,4
聆音阁主,231,《魔*******分》,连载,118097,2016-08-09 13:10:00,15,10,3,3
安fay,24,《凝——与天无极，与地相长》,完结,420720,2010-03-05 01:53:53,0,2,1,0
喜马拉雅种猫,9843,《软萌o人设又崩了》,完结,440596,2021-12-19 11:39:11,313,21,5,0
周九爷,249,《主播总是不承认自己在穿越》,连载,253736,2020-01-12 21:41:37,0,0,7,0
小绿龙,1147,《穿成替身文霸总的超A姑姑后》,连载,41034,2022-03-13 12:00:00,1336,5,6,1
耿其心,5235,《延迟心动》,完结,288562,2022-02-02 10:39:16,4070,11,2,0
湘江红叶,38,《重*******L》,连载,79644,2014-01-09 15:49:53,0,1,3,2
归鸿落雪,3055,《魔头战败后多了个孩子》,完结,812204,2022-03-10 20:23:42,0,4,15,0
柔风弄影,246,《(HP)路人乙的倒霉穿越》,连载,72441,2011-01-05 00:37:26,0,1,6,0
迷雾森林喵,63,《[瓶邪黑花]盗墓笔记同人之卷土重来》,连载,622544,2021-03-13 10:54:17,0,0,2,0
镜未磨,213,《长安不问》,连载,218538,2019-01-17 15:20:41,0,0,2,0
一吱喵,206,《人类最强掉马了[星际]》,连载,111955,2021-04-06 18:00:00,0,1,2,0
墨染萧绯,561,《储*******）》,完结,336441,2016-11-27 03:12:35,55,7,5,1
叶惜语,6070,《别哭，我家让你住》,完结,456320,2021-07-19 08:12:19,9540,12,8,0
野生菌别跑,432,《穿成女配a标记女主》,连载,51684,2022-03-11 22:33:36,281,2,5,0
贱先森,42,《[综]阴阳师非到家了》,连载,7231,2018-12-31 22:00:33,25,3,9,0
络蛊,931,《叛逆者[修真]》,连载,304867,2021-05-17 10:13:53,20,34,2,0
若一一,905,《火影之锦衣夜行》,连载,146197,2015-06-27 16:48:38,0,11,3,0
花生酥糖,1441,《穿到渣A折磨女主前》,完结,475773,2022-02-12 19:10:44,284,8,2,0
暮爱,17,《沉夏》,连载,121598,2013-03-22 23:05:49,0,12,4,3
钟十一,67,《重生之谢渣男不娶之恩》,完结,331492,2018-07-19 17:35:21,11,5,3,0
魔莎庄园,59,《[天官赐福同人]  双玄 凡尘路》,连载,551438,2021-07-26 17:52:17,0,0,2,0
长腿美人鱼,271,《炮灰是朵黑莲花[快穿]》,连载,129704,2021-03-17 23:11:20,32,4,5,1
景戈,2239,《予她无恙》,完结,410199,2021-11-12 08:29:28,3860,4,5,0
夏蝉不烦,907,《玫瑰与西服》,完结,310549,2021-08-19 19:44:49,22,2,2,0
雪也也,943,《八零年代漂亮作精》,完结,710868,2022-01-25 23:49:48,1558,2,4,0
汤问棘,693,《海*》,连载,945139,2019-12-13 15:17:49,0,1,1,0
夜富,466,《那个养大猫的男人》,连载,124424,2021-09-08 21:47:28,0,1,5,0
红酒杯里装狗血,4481,《圣母》,连载,126015,2022-03-11 09:52:43,37,9,3,0
Immortal骨头,556,《[*******天》,连载,66893,2019-08-18 20:27:16,0,2,1,0
红心,808,《被动恋爱法则[快穿]》,连载,356630,2019-05-29 16:48:42,204,1,5,2
枕星而眠,2064,《超英的梦中情人[综英美]》,完结,297417,2022-02-16 05:29:57,4848,19,3,1
奶油泡泡,107,《[综英美]在超英存在的世界画漫画》,连载,308136,2021-09-05 21:20:12,0,0,2,0
空气安静了,87,《[综影视漫]想穿就穿》,连载,130679,2018-03-12 01:02:17,0,1,2,2
宇宙第一红,4676,《重生后和死对头HE了[星际]》,连载,293055,2022-03-13 06:16:58,19,19,28,0
寒小期,13932,《大佬爹今天也在垒坟头》,连载,383528,2022-03-13 00:58:58,47744,21,7,0
唐不弃,536,《玉楼债》,连载,160270,2022-03-11 12:00:00,371,16,14,0
流兮冉,27216,《我嫁的仙尊成魔尊》,完结,594135,2021-11-23 01:49:16,9621,15,13,0
猫知鱼之乐,827,《[海贼王]我有公主病新版》,连载,400141,2021-08-25 23:00:34,0,9,3,0
白鹭爱吃鱼,1914,《穿成女装大佬男配》,完结,676740,2022-02-15 21:06:33,3539,4,7,0
洛雪微,24,《我若盛开，清风自来（微微一笑很倾城同人）》,完结,127167,2020-10-17 10:29:15,0,2,3,0
一顾子矜,2805,《四言往生路》,连载,575860,2022-02-06 18:02:21,2953,14,4,0
君清绾,61,《那个建国前成精的过来一下》,连载,28751,2020-02-09 20:07:52,0,3,5,0
夏诺多吉,7518,《今夕何夕》,完结,204536,2022-01-18 14:11:29,4694,14,3,1
椛祭,93,《[*******云》,完结,89812,2021-08-28 16:40:29,0,4,1,3
SUI岁,2574,《[海贼王]你好，单身狗战国元帅！》,连载,374318,2022-02-15 20:15:00,33,5,31,1
心流,65,《我是涉谷事变的路人甲》,连载,71116,2022-01-19 23:41:42,78,0,3,0
漏水的咖啡杯,169,《黑洞少年》,连载,69606,2019-12-26 00:29:30,31,17,1,0
终见苍木,2621,《天下布武》,连载,221076,2022-03-13 04:24:33,18,7,16,2
从0,7900,《生存游戏[无限]》,完结,727611,2022-03-12 20:48:48,2800,9,5,0
木匆匆,5086,《在逃生游戏里玩消消乐》,连载,40350,2021-10-29 21:39:21,3722,17,7,0
储君不登基,286,《[综+阴阳师]书翁记仇中》,连载,486979,2022-02-09 17:51:49,11,0,5,3
宋家小四,1946,《当学霸穿成恋综里的漂亮炮灰[快穿]》,连载,977,2022-01-09 22:59:44,6832,3,3,0
虾咕噜,4375,《在老公葬礼上笑出声[穿书]》,连载,364797,2022-03-13 11:49:37,1901,8,10,0
一支牙刷,222,《[文野]溺亡于月光之海》,连载,277478,2021-09-20 23:06:49,0,0,2,0
墨意浓,60,《搞极限运动后我爆红了[竞技]》,连载,153000,2022-03-02 23:43:41,26,0,4,0
布丁咖姬,784,《[全职bg]万里风波一叶周》,连载,230585,2021-08-01 21:32:15,0,7,10,5
脑残有福,61,《暂*》,连载,14369,2010-07-02 20:44:44,0,3,2,1
黄泉泪,178,《（天下三）boss一笑，惨无人道》,连载,2049,2019-10-01 18:00:00,5,7,10,3
禾九九,3593,《影帝暗恋我很久了》,连载,13887,2021-11-15 19:58:06,3343,12,18,1
莫徽,75,《盗墓之雾锁迷途》,连载,132181,2012-12-06 21:00:26,0,3,2,2
挠时光,2631,《我和爱豆的对家he了》,连载,22379,2022-03-13 21:00:00,1809,28,13,0
歆月落,90,《H*******纹》,连载,494166,2009-06-19 22:56:41,0,0,1,0
泊烟,6765,《被迫嫁给暴君之后》,完结,482442,2022-01-05 01:24:59,17261,24,3,0
君自歌,52,《上将大人不会谈恋爱（星际）》,连载,266884,2018-03-19 19:29:32,0,1,1,0
千岩玉,27,《靠算命再次爆红娱乐圈》,连载,110025,2021-11-23 00:13:30,0,4,5,0
伏中君,946,《不知情深》,连载,216993,2022-03-07 22:32:15,171,9,8,1
正午月光,2481,《请*******我》,连载,97452,2020-08-19 10:13:24,0,11,6,0
旧衣,2063,《甘愿》,连载,76752,2022-03-12 18:00:00,2537,5,3,0
梨子粒,148,《和哥哥he了【娱乐圈】》,连载,80991,2022-01-31 21:30:36,37,6,4,0
寒雨 吹梦,53,《金陵旧韵》,连载,37789,2020-08-13 17:58:38,0,3,4,0
苏筱乐,547,《[犬夜叉]独宠桔梗》,完结,352083,2022-02-28 05:29:37,2,21,7,2
白白的双皮奶,51,《综影视美梦》,暂停,204322,2019-04-25 21:00:00,0,1,3,4
沐湛清,150,《师尊今天弯了吗》,连载,157858,2021-07-30 22:24:17,0,0,2,0
云彦卿,59,《重*******成》,完结,212355,2014-04-13 15:33:25,0,7,3,2
芝麻汤团,64,《总裁他真香了》,完结,191045,2022-03-13 20:55:52,0,4,4,0
清水浅浅,10832,《男主们有话要说[快穿]》,连载,237146,2017-07-25 18:18:18,0,24,2,0
不知其二,238,《cos亡灵体后我遇上了本尊》,连载,101072,2022-03-08 08:00:00,659,0,2,0
王小团儿,625,《猫之异闻录》,连载,160896,2019-05-23 00:57:24,1,19,3,0
一方柏舟,112,《［天乩之白蛇传说］几生欢》,完结,158402,2021-08-05 21:58:58,14,3,6,0
夜曦君,725,《满世界寻找前男友》,连载,127762,2022-01-28 17:37:32,50,3,10,0
关尼尼,2408,《我想跑路很久了》,连载,109342,2022-03-12 23:49:24,902,2,3,0
九悲十拂,228,《合租室友装穷又装0！》,连载,11269,2020-12-15 00:00:01,79,6,11,0
珈罗瑶光,1067,《[魔道祖师]阑珊处（澄曦澄）》,连载,8239,2016-07-14 16:36:30,29,14,1,2
十三有余,21,《灯塔》,暂停,15499,2022-02-16 23:09:13,4,6,1,2
朵拉图的日出,315,《孤木与繁花》,完结,272839,2021-02-20 21:24:52,0,6,0,0
鹿尾,91,《不寐》,完结,496415,2022-01-05 18:18:18,4,7,5,0
小二宝,671,《小神女成了掌心灵祝》,连载,289806,2021-07-10 21:33:07,722,5,1,0
入洛,117,《硝哥莫得感情》,连载,3912,2021-08-08 12:56:28,0,2,17,0
飞天酥鱼,2020,《不愿做奴隶的人[综]》,连载,930074,2021-11-17 02:49:14,1841,1,5,0
白日梦录,64,《多功能科举考生》,连载,164106,2020-09-25 18:00:00,50,0,2,0
眼镜腿儿,3215,《深夜emo，来聊个五毛钱的天》,连载,17261,2022-03-12 18:07:07,8,6,3,0
桐凤梧,174,《山河令之忆相逢》,连载,85122,2021-06-19 17:09:28,0,1,6,7
云上跹舞,71,《遇上乾隆大叔（何枝可依）》,完结,502279,2012-02-04 20:00:00,0,9,0,0
乌珑白桃,5509,《请勿惊扰邪神［无限］》,连载,553908,2022-03-13 14:38:10,281,10,21,0
浮马,4395,《[综]沉迷扮演日渐消瘦》,连载,449287,2020-04-08 01:14:57,65,5,8,2
红叶似火,9122,《换亲姐姐重生了[八零]》,连载,1241866,2022-03-13 18:55:11,7744,21,11,1
一品寒枭,3393,《我当警校传说的那些年》,连载,272143,2022-02-19 20:57:58,918,22,17,0
天何,53,《晋*》,完结,23,2020-05-16 22:06:21,183,13,0,0
长发女妖,475,《渣攻洗白了[快穿]》,连载,187359,2022-03-12 23:43:31,421,10,5,0
慕凉决,902,《小例外》,完结,212644,2021-02-18 13:31:33,0,3,4,0
竹岚子,2504,《魔尊和自己的修罗场[穿书]》,连载,137496,2022-03-12 21:25:27,268,49,8,0
小檀栾,8313,《给个姬会》,连载,306405,2021-12-08 21:39:25,5122,5,7,0
红衣韶华,283,《社恐的我cos穿了》,连载,117602,2022-02-14 17:48:42,0,0,12,0
芛烟,260,《[综]美味记录簿》,连载,144246,2021-07-22 13:02:36,1,2,3,1
火野玄,15,《九*******传》,连载,34292,2020-03-28 17:06:55,0,12,1,2
墨涧空堂,1186,《[猎人]这变态横溢的世界》,完结,263818,2019-08-19 22:48:00,17,12,6,0
哩婆婆,46,《优等生的黑名单》,连载,114985,2018-01-28 00:29:03,0,2,1,0
暴躁喵,3158,《别恋》,连载,343225,2022-03-10 00:03:37,4834,4,12,0
菊长大人,9858,《小哭包进入噩梦循环以后》,完结,513112,2022-02-27 03:43:36,3734,12,5,1
阏羽,100,《后妈奋斗史》,完结,150939,2014-01-16 17:25:53,1,18,1,0
张惋君,538,《我*******你》,连载,99789,2018-10-15 10:14:47,3,6,7,0
小生无才,431,《刀剑与玫瑰》,连载,129744,2022-03-07 22:53:03,29,3,3,0
春风辞,1538,《被造物主偏爱的玩家》,完结,103799,2022-03-11 17:12:09,600,15,18,0
甜竹,2421,《穿成娇软废物在末世封神》,连载,1144852,2022-03-13 00:43:22,443,3,9,0
谷子不甜,28,《山河令之我是医者》,连载,28774,2021-03-29 22:30:33,0,0,3,0
司遥,2627,《我是万人迷NPC[无限]》,暂停,83654,2022-01-11 13:23:16,162,1,3,2
V大大,276,《不敢掉马了》,连载,40926,2021-03-06 14:19:14,0,3,8,0
印莲,1304,《拆迁遇到钉子户》,连载,100599,2020-11-06 10:17:11,0,26,1,1
不敢逛街,7672,《漫游[娱乐圈]》,连载,436791,2022-03-12 23:05:43,324,24,12,0
不碎环游艾欧泽亚ing,1013,《养荒神从基建开始》,连载,29248,2021-11-21 18:48:02,0,1,5,0
右默,4668,《每天都被自己辣哭[未来]》,完结,563126,2021-10-04 11:20:49,2469,4,4,0
夜风秋,222,《[综]打开方式错误的卡塞尔学院》,连载,25226,2021-04-25 17:42:35,1,1,19,0
zhuzhu6p,1321,《今生局》,连载,164295,2015-10-25 06:43:00,0,20,5,5
臾零,365,《脑*******集》,连载,41315,2020-07-01 23:26:17,0,5,3,2
山药药药粥,531,《一觉醒来少奋斗二十年》,连载,94835,2022-03-11 17:35:06,1,2,4,0
柯染,8409,《能当皇帝，便不当皇后》,连载,199414,2022-03-13 01:15:08,2010,24,5,0
糖弦,4116,《穿成渣O小主播[电竞]》,连载,82650,2022-03-11 15:51:40,2193,54,13,1
琴寒烟,897,《黑暗献给光明神[西幻]》,连载,236825,2022-03-13 01:35:48,36,10,15,0
著物物不知,138,《宇智波三当家今天也在拯救世界》,连载,392116,2022-03-13 00:08:01,38,0,5,0
斑衣白骨,12085,《人间失守》,完结,812949,2021-12-21 15:06:12,27,14,2,0
三潭映月,388,《夫妻本是同林鸟》,完结,114968,2011-12-09 19:09:54,0,5,0,0
遇时,5949,《魔尊他生无可恋》,完结,195806,2022-02-15 23:28:23,3959,14,7,0
柊白,1040,《同步追更弹幕后我成了烫角色》,连载,66512,2022-03-13 20:06:02,1036,3,7,0
清风不解语,1895,《天下最二》,完结,210038,2020-04-09 01:09:11,34,9,9,0
悠闲的猫咪,299,《我*******飞》,连载,702,2015-01-21 14:54:42,0,8,1,0
Rinnnn,249,《一心写小说却以除灵闻名业内是否有哪里不对》,连载,361528,2022-03-12 18:00:00,40,1,4,0
楼上黄昏,1644,《《*******安》,连载,33092,2018-06-10 09:03:13,3,35,3,0
季流月,18,《心有奈何一点通(微微一笑很倾城同人）》,完结,56002,2017-02-07 15:34:19,0,2,2,0
得似浮云也自由,81,《重生之逆风解意》,完结,133131,2021-08-24 15:59:24,0,3,1,0
喵悠,762,《三*******家》,连载,52293,2021-02-26 23:59:00,1,1,10,1
莫心伤,11042,《叶秘书又说我坏话》,连载,204865,2022-03-13 18:00:00,2935,17,8,1
池灵筠,431,《万岁》,连载,28276,2013-06-15 11:16:47,0,7,1,0
以墨醅酒,9,《前世死对头给我冲喜》,完结,324440,2022-03-06 19:55:30,11,2,1,3
晏图,462,《选秀：顶流CP》,连载,221862,2021-12-19 23:12:13,1329,6,6,1
叶珧,54,《我家受君总想让脑速慢下来》,完结,325973,2016-05-22 16:48:41,0,3,1,0
脉脉,3909,《有所思》,完结,231141,2014-09-28 12:19:40,0,16,19,1
碧酒月清凉,138,《苍*******录》,完结,259730,2009-02-26 20:23:11,0,16,2,2
不见仙踪,1673,《重生后我被偏执影帝占有了》,连载,47973,2022-03-13 21:00:00,964,2,8,0
棠无鱼TWY,358,《穿成上京第二美人》,连载,149463,2022-03-11 21:00:00,138,1,10,0
浮游清浅,49,《[综英美]福尔摩斯在我脑子里》,连载,337503,2019-10-21 20:35:51,74,0,1,0
桃花糕,2518,《在修罗场中达成宠文结局[快穿]》,完结,161129,2022-01-11 06:23:48,1086,3,3,0
扮猪的兔子,251,《[火影]音隐村的小世子》,连载,409161,2019-01-02 14:47:26,0,0,3,0
今斐,11338,《死神大人他C位出道啦》,完结,621434,2021-12-31 19:13:31,11794,27,5,1
清和月,76,《我靠美食经营游戏风靡异世界[快穿]》,连载,44593,2022-01-25 09:00:00,16,7,5,0
镜相,467,《却上心头》,连载,23332,2021-01-18 23:18:57,1,2,5,0
雪玉妖妖,6,《与精神力s+的Alpha绑定后》,完结,116007,2021-09-24 09:25:56,1,3,3,0
一纸桃花雪,1975,《侦*******场》,连载,103139,2021-10-18 22:45:05,820,5,23,0
轻侯,7593,《上海婚姻故事》,连载,194421,2022-03-13 12:00:00,19037,8,7,0
香九楼,31,《= =》,完结,0,2014-11-20 21:51:06,0,5,2,0
柳锁寒烟,1961,《红楼之闲耽风月》,连载,157768,2021-12-23 22:31:40,665,2,8,0
龙幽溟,3938,《[快穿]当反派变成凤》,连载,757292,2022-02-12 09:56:07,48,49,15,7
星棘,17763,《我在未来做怪物之母》,连载,508500,2022-03-13 22:25:42,3733,13,10,0
季淮宴,162,《被雷劫劈后，我靠诅咒飞升》,连载,18246,2021-10-19 21:00:00,0,0,7,0
梅弄影,337,《因何恋风尘[娱乐圈]》,连载,265975,2021-09-03 00:50:54,38,11,1,1
三两钱,408,《穿成渣男怎么办？[种田]》,连载,71160,2022-03-13 18:12:34,126,18,7,0
浅洛洳雪,13023,《工作狂不想谈恋爱[快穿]》,连载,267076,2022-03-13 01:02:10,37,16,3,2
香酥栗,13211,《重回九零拆迁前》,连载,649885,2022-03-13 15:00:00,217,12,3,0
路侠,1890,《我没信息素，你闻错了》,连载,567353,2022-03-12 06:00:00,209,3,7,0
温三,9902,《养妖》,完结,489063,2022-02-09 21:00:00,0,13,2,1
撷语,1160,《我为大明贡献GDP》,连载,16491,2022-01-29 00:00:00,102,13,7,0
春雨杏花白,1681,《危命真人秀[娱乐圈]》,连载,334518,2022-03-13 15:09:03,852,9,3,0
曳络亍,48,《我*******良》,连载,7051,2020-08-13 16:42:34,2,1,6,0
景曜东隅,151,《榴莲味年下》,暂停,161468,2019-09-09 18:00:01,114,4,2,3
墨舞舞,7,《黑羊女王》,连载,24084,2010-05-05 10:11:12,0,1,2,1
Ti amo,356,《[BTS]平行世界论》,连载,482494,2018-05-28 01:37:07,0,1,7,0
树叶子,283,《辉*******王》,连载,80165,2013-09-18 13:52:55,0,12,3,0
芝士地瓜,177,《装A翻车事故[娱乐圈]》,连载,183471,2021-04-17 13:05:44,65,0,3,0
禅猫,2328,《当画修穿成豪门太太》,连载,32847,2022-02-23 21:35:50,18,3,4,1
凉夜埙,13,《月圆青衫》,连载,43707,2010-08-26 19:48:35,0,3,3,1
二红熊猫,148,《穿书后我渣了恨嫁反派》,连载,163307,2022-03-13 20:54:58,30,3,4,0
喵喵滚汤圆,542,《文豪世界环游手札》,连载,262421,2022-03-13 18:00:00,5,0,4,0
逝水如梦,8,《是谁入梦(清穿)》,完结,188225,2009-01-19 22:16:13,0,2,0,0
卉苗菁彩,5355,《穿越之细水长流》,完结,2723388,2020-09-23 10:52:49,3062,3,9,0
响月,14988,《爱丽丝学院同人 守护幸福》,完结,255695,2021-07-02 15:14:37,79,13,7,0
luta,565,《一个斑吹的我如何拯救一个斑黑的你》,连载,32252,2022-03-07 14:37:37,15,4,16,0
菜花汤,1188,《脑花拯救世界》,连载,40666,2022-03-13 02:29:24,210,61,9,2
旧书报刊,1262,《城市规划师绝不认输！》,连载,223147,2022-03-13 08:07:20,832,19,17,0
肥柴,156,《撚青梅》,完结,264575,2021-01-10 10:41:40,129,5,5,0
小木筏,20,《我*******啊》,连载,40440,2021-09-05 12:00:01,0,2,5,0
兔耳齐,8863,《淘宝百亿小老板》,完结,1603588,2022-03-10 13:22:12,1008,10,4,0
常遇,114,《未*》,完结,0,2015-10-23 23:08:25,0,4,0,4
月寻星,4260,《终生爱慕》,连载,148421,2022-03-13 19:42:47,473,4,8,0
眨眼成妖,9,《凤舞九天》,完结,382209,2020-05-10 16:27:46,0,2,0,0
官官若观,107,《[真幸]我的幼驯染太松懈了！》,连载,887161,2019-08-03 06:36:55,0,5,2,0
Hilary3310,243,《[刀剑乱舞/暗黑本丸] 枫花》,连载,328064,2018-07-12 23:19:03,0,1,1,0
傅立叶,97,《妖人自有天来收》,完结,269526,2015-11-06 12:42:28,0,7,2,0
梅林快用腮呼吸,144,《红叶老师在哪里》,连载,30828,2020-07-19 10:28:01,0,0,5,0
艽野君,1537,《破产后我成了新城隍》,连载,220257,2022-03-01 01:41:55,878,4,9,0
夜灼燃,770,《穿越者互助论坛》,连载,208302,2022-02-13 15:35:35,21,2,6,1
蓝千里,1733,《被怪物们团宠[末世]》,连载,43839,2022-03-13 20:33:25,1400,14,9,0
夜水岚,60,《晟归汐来》,连载,9002,2018-10-31 18:36:57,0,4,3,0
乔安笙,4233,《穿成渣A后被O甜宠了》,连载,57671,2022-03-13 00:00:01,2255,26,16,0
蓠绾,42,《[综影视]不悔》,连载,503578,2021-10-14 23:08:51,0,0,2,0
今银,2184,《脑洞放置地[JOJO/我是大哥大/海贼王/热血街区]》,连载,7532,2021-09-05 15:50:56,324,5,15,0
卷碧,34,《绣心不改（重生）》,暂停,113643,2016-08-24 21:19:47,0,3,2,2
秋二方,6236,《我老公年轻时居然是校草》,完结,108575,2019-12-23 15:30:22,1299,11,3,0
红锦白棉,95,《［*******托》,连载,165556,2017-08-23 00:00:01,0,0,3,0
风吹翦羽,2979,《侯府嫡女（重生）》,连载,253877,2021-12-07 10:59:12,0,17,3,0
萨孤,52,《我其实只是想研究下你》,完结,40486,2021-10-18 22:56:35,0,4,2,0
初可,4776,《夜里有雪时》,完结,469646,2021-09-18 00:00:33,5630,18,5,0
水仙金平糖,667,《接手波洛咖啡店的我》,连载,230079,2022-03-12 23:59:59,319,1,11,0
云要多高,103,《淹江雨》,连载,4875,2018-12-27 14:31:07,11,5,7,2
叹今朝无酒,468,《[盗墓笔记]人海浮沉》,连载,149085,2022-03-12 22:52:45,0,3,5,0
斯迈尔夫人,3243,《我曝光了所有名场面》,连载,725277,2022-03-13 07:00:00,5,28,7,0
堂堂海棠,3524,《我老公是国家发的》,完结,368627,2022-03-03 22:53:14,449,14,10,0
夏天的水煮鱼,501,《HP但我是个好格兰芬多》,连载,52683,2022-03-02 17:53:51,90,6,23,0
小呀小练笔,63,《[综主刀剑乱舞]刀光》,连载,154454,2019-01-28 00:13:39,0,0,1,0
维C乐乐,39,《药香书女》,完结,350137,2018-10-30 10:27:43,4,5,0,0
崖禾,176,《坑》,连载,1682,2018-04-07 20:33:55,27,10,6,0
渐台二,917,《樱笋年光》,连载,283847,2022-02-01 01:58:39,0,0,1,0
颜氏灵兮,827,《以刀为眸》,连载,162413,2021-07-03 22:12:24,10,11,11,0
执灯弈棋,475,《这只熊猫崽超凶[无限]》,连载,162042,2022-02-22 01:49:00,532,8,8,2
给我一碗饭,111,《就自恋》,连载,7632,2015-03-07 05:59:14,0,10,4,0
秦寺,15043,《顺我心意》,连载,261432,2022-03-12 02:28:28,8296,12,5,0
漱玉泠然,598,《永嘉县主那些事儿》,完结,624445,2020-12-24 10:10:48,476,15,0,0
儿喜,1117,《错撩豪门大佬后我翻车了》,连载,56563,2022-03-12 21:02:23,752,15,6,0
白刃在喉,317,《画*******牢》,完结,333664,2011-09-24 23:34:57,0,2,0,0
烟如波,30,《闪婚霸总不是人[穿书]》,连载,84308,2021-02-07 00:00:01,31,5,5,0
阿七不甜,153,《扮演的我是幕后boss》,连载,264408,2022-02-21 19:27:50,60,0,3,0
可乐伢,74,《穿成恶毒女配被假白莲勾引》,连载,141625,2021-02-19 13:00:00,92,0,2,0
一桶米,53,《[柯南]在红与黑之间反复横跳》,连载,168523,2021-12-23 23:08:40,4,0,1,0
姒子衿,506,《[综]魔王与暴君》,连载,826638,2021-11-03 14:00:00,80,1,8,0
